品牌,日期,升级点,积分,状态,周次,截图链接,提交时间
零点记忆,2026-07-26,"货升级 新品上新凝胶枕",5,pending,第1周,/uploads/1785057598585-qmqg8a.png,2026-07-26 09:19:58
欧洛德,2026-07-26,"工厂溯源+厂长驾到 升级了厂长人设",5,pending,第1周,/uploads/1785040047469-boroo3.jpg,2026-07-26 04:27:27
贝曲宝,2026-07-26,"货升级 赠送吨吨杯
人升级 营销总监进场双人直播",5,pending,第1周,/uploads/1785029532229-pk6j3h.png,2026-07-26 01:32:12
张小泉芭荷,2026-07-26,"场景升级，更换新场景",5,pending,第1周,/uploads/1785024195516-gr986t.png,2026-07-26 00:03:15
金正/禾兰仕（经销）,2026-07-25,"场升级，仓库直播",5,pending,第1周,/uploads/1784976060963-5faq19.png,2026-07-25 10:41:00
迈巴勒,2026-07-25,"场景从展会背景变为工厂现场背景",5,pending,第1周,/uploads/1784972415785-kr3i5n.jpg,2026-07-25 09:40:15
零点记忆,2026-07-25,"双人直播 营销总监进入直播间",5,pending,第1周,/uploads/1784967908976-5ayoe9.png,2026-07-25 08:25:09
贝曲宝,2026-07-25,"货升级，上新品加新增赠品",5,pending,第1周,/uploads/1784965833299-631wuz.png,2026-07-25 07:50:33
张小泉芭荷,2026-07-25,"场景拓展到商超，福利官亲临直播间降福利",5,pending,第1周,/uploads/1784964154189-aksa9l.jpg,2026-07-25 07:22:34
张小泉创大,2026-07-25,"展会大场现场直播中",5,pending,第1周,/uploads/1784962874027-jwauap.png,2026-07-25 07:01:14
永丰源,2026-07-25,"增加鹅选美好生活贴片
品牌会员日 系列产品9.5折扣",5,pending,第1周,/uploads/1784956555219-qyl39s.jpg,2026-07-25 05:15:55
聚量（康佳/苏泊尔/创维）,2026-07-25,"由原来的苏泊尔果蔬机升级为苏泊尔果蔬篮，赠送沥水篮，提高用户使用感受，添加活动物料，增加用户信任感，促进活动宣传",5,pending,第1周,/uploads/1784951143505-dp4803.png,2026-07-25 03:45:43
太力,2026-07-25,"百货展现场直播",5,pending,第1周,/uploads/1784951018602-ko0ooe.jpg,2026-07-25 03:43:38
卡伴,2026-07-25,"场景升级，展会专场直播，限时福袋，双人直播增加氛围",5,pending,第1周,/uploads/1784949160465-b3wkn9.png,2026-07-25 03:12:40
友望,2026-07-25,"直播间增设升级专属实景实测演示专区，实景验证产品实力，消解用户选购顾虑。",5,pending,第1周,/uploads/1784943761286-ib32u4.png,2026-07-25 01:42:41
欧洛德,2026-07-25,"我们升级了场景 工厂溯源",5,pending,第1周,/uploads/1784939165310-6rse0q.jpg,2026-07-25 00:26:05
金正/禾兰仕（经销）,2026-07-24,"场升级，仓播形式，直播场景在仓库",5,approved,第1周,/uploads/1784885050000-4c45xq.png,2026-07-24 09:24:10
aeroband,2026-07-24,"场景升级，升级与产品相符的家居客厅版，同时上与鹅选活动相符场景",5,approved,第1周,/uploads/1784884726761-8tyoim.png,2026-07-24 09:18:46
张小泉创大,2026-07-24,"展会现场直播",5,approved,第1周,/uploads/1784881339243-d1ra8j.png,2026-07-24 08:22:19
卡伴,2026-07-24,"场景升级展会直播，增加直播氛围，定时福袋，品牌总监进直播间",5,approved,第1周,/uploads/1784878881055-aaqiv8.png,2026-07-24 07:41:21
零点记忆,2026-07-24,"零点记忆营销总监进入直播间 限时福利赠送枕套",5,approved,第1周,/uploads/1784869916998-bqpto2.png,2026-07-24 05:11:57
贝曲宝,2026-07-24,"场升级 更换直播间场景贴近鹅选美好生活
货升级 新品上新睡眠抱枕",5,approved,第1周,/uploads/1784868857415-zz4if8.png,2026-07-24 04:54:17
太力,2026-07-24,"新品首发",5,approved,第1周,/uploads/1784864710711-5zn8a2.jpg,2026-07-24 03:45:10
张小泉芭荷,2026-07-24,"场景升级为展会现场，并邀请到张小泉营销总裁张总现场直播，提升直播间氛围",5,approved,第1周,/uploads/1784859412729-g2wnx4.jpg,2026-07-24 02:16:52
